Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 8;;Curve No. 9;;Curve No. 10;;Curve No. 11;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0.2820001;6204.425;0.2820001;5405.274;0.2820001;7002.354;0.2820001;6095.258;0.2820001;5391.428;0.2820001;6592.215;0.2820001;6325.915;0.2820001;6913.949;0.2820001;7069.54;0.2820001;6754.361
0.2850001;6297.565;0.2850001;5486.581;0.2850001;7094.217;0.2850001;6193.324;0.2850001;5471.931;0.2850001;6684.275;0.2850001;6417.015;0.2850001;7006.48;0.2850001;7163.25;0.2850001;6848.752
0.2880001;6391.268;0.2880001;5568.715;0.2880001;7186.116;0.2880001;6291.649;0.2880001;5552.434;0.2880001;6776.751;0.2880001;6508.232;0.2880001;7100.168;0.2880001;7258.015;0.2880001;6943.742
0.2910001;6484.971;0.2910001;5651.771;0.2910001;7278.659;0.2910001;6389.861;0.2910001;5634.162;0.2910001;6869.63;0.2910001;6600.593;0.2910001;7193.917;0.2910001;7352.78;0.2910001;7038.733
0.2940001;6579.445;0.2940001;5735.274;0.2940001;7371.203;0.2940001;6487.428;0.2940001;5716.085;0.2940001;6963.206;0.2940001;6692.954;0.2940001;7288.901;0.2940001;7448.931;0.2940001;7134.666
0.2970001;6674.027;0.2970001;5819.907;0.2970001;7464.775;0.2970001;6584.994;0.2970001;5799.017;0.2970001;7057.026;0.2970001;6786.215;0.2970001;7383.885;0.2970001;7545.214;0.2970001;7230.813
0.3000001;6769.208;0.3000001;5904.666;0.3000001;7558.517;0.3000001;6683.621;0.3000001;5882.441;0.3000001;7151.996;0.3000001;6879.575;0.3000001;7479.917;0.3000001;7642.349;0.3000001;7327.743
0.3030001;6864.661;0.3030001;5990.651;0.3030001;7652.961;0.3030001;6782.294;0.3030001;5966.511;0.3030001;7246.966;0.3030001;6973.095;0.3030001;7576.127;0.3030001;7739.819;0.3030001;7425.156
0.3060001;6960.699;0.3060001;6076.636;0.3060001;7747.761;0.3060001;6882.094;0.3060001;6051.274;0.3060001;7343.035;0.3060001;7066.68;0.3060001;7673.088;0.3060001;7838.293;0.3060001;7523.106
0.309;7057.333;0.309;6163.662;0.309;7843.021;0.309;6982.236;0.309;6136.369;0.309;7439.121;0.309;7160.181;0.309;7770.436;0.309;7937.68;0.309;7621.793
0.312;7154.333;0.312;6250.797;0.312;7938.796;0.312;7083.315;0.312;6222.269;0.312;7536.111;0.312;7253.602;0.312;7868.474;0.312;8037.402;0.312;7720.782
0.315;7252.173;0.315;6338.228;0.315;8034.955;0.315;7185.081;0.315;6308.284;0.315;7633.339;0.315;7347.389;0.315;7967.299;0.315;8137.809;0.315;7820.814
0.318;7350.124;0.318;6425.777;0.318;8132.106;0.318;7287.397;0.318;6395.337;0.318;7731.35;0.318;7441.931;0.318;8066.431;0.318;8238.378;0.318;7920.883
0.321;7448.942;0.321;6513.454;0.321;8229.359;0.321;7390.593;0.321;6482.39;0.321;7829.885;0.321;7536.587;0.321;8166.371;0.321;8339.98;0.321;8022.191
0.324;7547.761;0.324;6601.246;0.324;8327.695;0.324;7494.036;0.324;6569.335;0.324;7928.902;0.324;7631.978;0.324;8266.433;0.324;8441.583;0.324;8123.5
0.327;7647.7;0.327;6689.333;0.327;8426.032;0.327;7598.501;0.327;6656.27;0.327;8028.628;0.327;7727.368;0.327;8367.872;0.327;8544.384;0.327;8226.092
0.33;7747.735;0.33;6778.011;0.33;8525.294;0.33;7702.97;0.33;6743.009;0.33;8128.581;0.33;7823.993;0.33;8469.311;0.33;8647.257;0.33;8328.94
0.333;7848.632;0.333;6866.901;0.333;8624.668;0.333;7808.656;0.333;6829.671;0.333;8229.378;0.333;7920.693;0.333;8571.521;0.333;8751.223;0.333;8432.607
0.336;7949.849;0.336;6957.06;0.336;8725.009;0.336;7914.341;0.336;6917.064;0.336;8330.192;0.336;8018.277;0.336;8673.83;0.336;8855.557;0.336;8536.738
0.339;8051.497;0.339;7047.218;0.339;8825.766;0.339;8021.186;0.339;7005.12;0.339;8431.946;0.339;8116.153;0.339;8777.039;0.339;8960.573;0.339;8641.326
0.3419999;8153.517;0.3419999;7138.745;0.3419999;8927.176;0.3419999;8128.298;0.3419999;7093.539;0.3419999;8533.699;0.3419999;8214.767;0.3419999;8880.645;0.3419999;9066.14;0.3419999;8746.485
0.3449999;8255.895;0.3449999;7230.338;0.3449999;9029.222;0.3449999;8236.153;0.3449999;7182.689;0.3449999;8636.355;0.3449999;8313.96;0.3449999;8984.835;0.3449999;9172.087;0.3449999;8852
0.3479999;8358.949;0.3479999;7322.997;0.3479999;9131.632;0.3479999;8344.462;0.3479999;7272.015;0.3479999;8739.204;0.3479999;8413.631;0.3479999;9089.61;0.3479999;9278.714;0.3479999;8958.579
0.3509999;8462.18;0.3509999;7415.987;0.3509999;9234.834;0.3509999;8453.272;0.3509999;7362.427;0.3509999;8842.622;0.3509999;8514.121;0.3509999;9194.675;0.3509999;9385.54;0.3509999;9065.219
0.3539999;8566.384;0.3539999;7509.968;0.3539999;9338.189;0.3539999;8562.753;0.3539999;7452.839;0.3539999;8946.376;0.3539999;8614.867;0.3539999;9300.393;0.3539999;9493.366;0.3539999;9172.881
0.3569999;8670.589;0.3569999;7604.688;0.3569999;9442.623;0.3569999;8672.525;0.3569999;7544.513;0.3569999;9050.54;0.3569999;8716.813;0.3569999;9406.201;0.3569999;9601.192;0.3569999;9280.543
