Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0.1980001;3936.981;0.1980001;4466.982;0.1980001;4103.457;0.1980001;4197.36;0.1980001;4047.928;0.1980001;4596.952;0.1980001;4010.476;0.1980001;4727.759;0.1980001;5016.599;0.1980001;3609.434
0.2010001;4008.047;0.2010001;4551.05;0.2010001;4177.912;0.2010001;4275.689;0.2010001;4121.828;0.2010001;4681.421;0.2010001;4087.966;0.2010001;4814.54;0.2010001;5106.742;0.2010001;3675.696
0.2040001;4081.831;0.2040001;4635.367;0.2040001;4254.109;0.2040001;4354.038;0.2040001;4195.905;0.2040001;4765.763;0.2040001;4165.457;0.2040001;4901.668;0.2040001;5196.999;0.2040001;3743.792
0.2070001;4155.614;0.2070001;4721.423;0.2070001;4330.399;0.2070001;4434.025;0.2070001;4271.449;0.2070001;4850.688;0.2070001;4245.316;0.2070001;4989.763;0.2070001;5288.945;0.2070001;3812.149
0.2100001;4229.763;0.2100001;4807.479;0.2100001;4407.049;0.2100001;4514.45;0.2100001;4348.089;0.2100001;4937.263;0.2100001;4325.31;0.2100001;5077.968;0.2100001;5381.52;0.2100001;3881.391
0.2130001;4303.973;0.2130001;4896.492;0.2130001;4483.739;0.2130001;4595.267;0.2130001;4424.492;0.2130001;5023.921;0.2130001;4406.876;0.2130001;5167.564;0.2130001;5475.03;0.2130001;3951.042
0.2160002;4378.611;0.2160002;4985.71;0.2160002;4563.373;0.2160002;4676.348;0.2160002;4500.507;0.2160002;5111.698;0.2160002;4488.942;0.2160002;5257.161;0.2160002;5569.352;0.2160002;4021.23
0.2190002;4453.468;0.2190002;5076.278;0.2190002;4643.007;0.2190002;4758.884;0.2190002;4576.968;0.2190002;5199.476;0.2190002;4571.939;0.2190002;5348.716;0.2190002;5664.34;0.2190002;4091.975
0.2220002;4529.864;0.2220002;5167.311;0.2220002;4724.116;0.2220002;4843.551;0.2220002;4655.338;0.2220002;5289.859;0.2220002;4655.635;0.2220002;5440.531;0.2220002;5760.607;0.2220002;4163.491
0.2250002;4608.003;0.2250002;5259.701;0.2250002;4805.544;0.2250002;4928.55;0.2250002;4733.707;0.2250002;5380.607;0.2250002;4740.363;0.2250002;5532.867;0.2250002;5857.113;0.2250002;4236.813
0.2280002;4686.495;0.2280002;5353.191;0.2280002;4887.857;0.2280002;5014.761;0.2280002;4813.864;0.2280002;5471.734;0.2280002;4826.747;0.2280002;5625.437;0.2280002;5954.982;0.2280002;4310.231
