Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0.16;6225.92;0.16;5996.57;0.16;5607.75;0.16;5701.01;0.16;6152.24;0.16;6572.78;0.16;7434.86;0.16;6034.84;0.16;7753.34;0.16;4614.45
0.16;6365.62;0.16;6152.38;0.16;5755.28;0.16;5848.35;0.16;6307.38;0.16;6734.88;0.16;7608.38;0.16;6184.83;0.16;7940.05;0.16;4740.25
0.16;6507.52;0.16;6309.9;0.16;5902.86;0.16;6000.07;0.16;6467.04;0.16;6897.7;0.16;7783.22;0.16;6335.75;0.16;8127.19;0.16;4868.51
0.17;6649.41;0.17;6469.34;0.17;6054.35;0.17;6152.15;0.17;6626.71;0.17;7063.17;0.17;7959.14;0.17;6489.37;0.17;8316.55;0.17;4997.21
0.17;6793.97;0.17;6631.13;0.17;6205.83;0.17;6307.28;0.17;6789.5;0.17;7228.69;0.17;8135.78;0.17;6643.21;0.17;8507;0.17;5129.2
0.17;6938.53;0.17;6793.99;0.17;6360.77;0.17;6463.5;0.17;6953.04;0.17;7397.26;0.17;8313.75;0.17;6800.27;0.17;8699.26;0.17;5261.18
0.17;7084.85;0.17;6959.94;0.17;6516.47;0.17;6622.09;0.17;7118.98;0.17;7565.83;0.17;8492.08;0.17;6957.34;0.17;8893.53;0.17;5397.1
0.18;7231.59;0.18;7126.12;0.18;6674.52;0.18;6782.64;0.18;7286.44;0.18;7736.67;0.18;8672.41;0.18;7117.11;0.18;9088.72;0.18;5533.33
0.18;7379.64;0.18;7295.69;0.18;6833.95;0.18;6944.49;0.18;7455.4;0.18;7908;0.18;8852.75;0.18;7277.27;0.18;9286.31;0.18;5672.43
0.18;7528.51;0.18;7465.27;0.18;6994.88;0.18;7108.67;0.18;7626.41;0.18;8081.17;0.18;9035.81;0.18;7439.74;0.18;9484.18;0.18;5812.56
0.19;7678.13;0.19;7638.4;0.19;7157.71;0.19;7273.48;0.19;7798.2;0.19;8255.42;0.19;9218.98;0.19;7603.28;0.19;9685.02;0.19;5954.82
0.19;7828.77;0.19;7812.04;0.19;7321.33;0.19;7441.43;0.19;7972.58;0.19;8430.75;0.19;9403.34;0.19;7768.32;0.19;9885.86;0.19;6098.83
0.19;7979.92;0.19;7988.08;0.19;7487.3;0.19;7609.38;0.19;8147.09;0.19;8607.46;0.19;9588.05;0.19;7934.89;0.19;10089.35;0.19;6244.09
0.2;8132.72;0.2;8165.23;0.2;7653.45;0.2;7780.58;0.2;8324.65;0.2;8784.83;0.2;9773.85;0.2;8102.29;0.2;10293.17;0.2;6391.56
0.2;8285.58;0.2;8344.13;0.2;7822.66;0.2;7951.84;0.2;8502.21;0.2;8964.22;0.2;9960.47;0.2;8271.61;0.2;10499.04;0.2;6539.56
0.2;8439.74;0.2;8524.85;0.2;7991.88;0.2;8125.59;0.2;8682.73;0.2;9143.75;0.2;10147.87;0.2;8441.25;0.2;10705.81;0.2;6690.12
0.2;8593.9;0.2;8706.65;0.2;8163.76;0.2;8299.99;0.2;8863.78;0.2;9325.84;0.2;10336.58;0.2;8613.47;0.2;10914.02;0.2;6840.68
0.21;8749.52;0.21;8890.99;0.21;8336.06;0.21;8476.59;0.21;9046.94;0.21;9507.93;0.21;10525.46;0.21;8785.68;0.21;11123.68;0.21;6994.17
0.21;8905.39;0.21;9075.72;0.21;8510.29;0.21;8654.63;0.21;9231.22;0.21;9691.51;0.21;10715.15;0.21;8960.3;0.21;11334.1;0.21;7147.72
0.21;9062.15;0.21;9263.77;0.21;8685.44;0.21;8833.96;0.21;9416.74;0.21;9875.34;0.21;10904.84;0.21;9135.13;0.21;11546.29;0.21;7303.92
0.22;9219.36;0.22;9451.83;0.22;8862.06;0.22;9015.11;0.22;9603.68;0.22;10060.71;0.22;11096.15;0.22;9311.98;0.22;11758.72;0.22;7460.82
0.22;9377.33;0.22;9642.78;0.22;9040.27;0.22;9197.04;0.22;9791.52;0.22;10246.85;0.22;11287.49;0.22;9489.6;0.22;11973.17;0.22;7619.38
0.22;9536.19;0.22;9834;0.22;9219.32;0.22;9381.64;0.22;9981.71;0.22;10434.04;0.22;11479.71;0.22;9668.62;0.22;12187.62;0.22;7779.03
0.23;9695.29;0.23;10027.43;0.23;9400.47;0.23;9566.33;0.23;10172.14;0.23;10622.38;0.23;11672.17;0.23;9848.86;0.23;12404.5;0.23;7939.86
0.23;9855.02;0.23;10221.72;0.23;9581.85;0.23;9753.37;0.23;10365.23;0.23;10811.18;0.23;11865.48;0.23;10029.92;0.23;12621.61;0.23;8102.35
0.23;10014.82;0.23;10417.52;0.23;9765.45;0.23;9940.41;0.23;10558.33;0.23;11001.13;0.23;12059.38;0.23;10212.55;0.23;12840.08;0.23;8265.46
0.23;10175.53;0.23;10614.65;0.23;9949.05;0.23;10129.88;0.23;10753.99;0.23;11191.25;0.23;12253.7;0.23;10395.49;0.23;13059.08;0.23;8430.7
0.24;10336.23;0.24;10812.68;0.24;10135.06;0.24;10319.77;0.24;10949.98;0.24;11382.93;0.24;12448.64;0.24;10580.13;0.24;13279.41;0.24;8596.03
0.24;10498.31;0.24;11012.49;0.24;10321.31;0.24;10511.36;0.24;11147.71;0.24;11574.61;0.24;12643.78;0.24;10764.76;0.24;13500.97;0.24;8763.64
0.24;10660.56;0.24;11212.64;0.24;10509.47;0.24;10703.83;0.24;11346.21;0.24;11767.73;0.24;12839.68;0.24;10951.51;0.24;13723.11;0.24;8931.25
0.25;10823.61;0.25;11414.83;0.25;10698.37;0.25;10897.57;0.25;11545.97;0.25;11961.01;0.25;13035.58;0.25;11138.34;0.25;13946.47;0.25;9101.19
0.25;10987.02;0.25;11617.03;0.25;10888.46;0.25;11092.72;0.25;11746.96;0.25;12155.47;0.25;13232.09;0.25;11326.87;0.25;14170.12;0.25;9271.54
0.25;11151.02;0.25;11821.6;0.25;11079.62;0.25;11288.51;0.25;11948.73;0.25;12350.42;0.25;13428.6;0.25;11515.9;0.25;14395.69;0.25;9443.51
0.26;11315.63;0.26;12026.31;0.26;11271.6;0.26;11485.88;0.26;12152.2;0.26;12546.06;0.26;13626.33;0.26;11706;0.26;14621.26;0.26;9616.3
0.26;11480.63;0.26;12232.52;0.26;11465.18;0.26;11683.43;0.26;12355.97;0.26;12742.34;0.26;13824.34;0.26;11896.86;0.26;14848.67;0.26;9790.2
0.26;11646.54;0.26;12439.21;0.26;11659.08;0.26;11882.68;0.26;12561.93;0.26;12939.14;0.26;14022.63;0.26;12088.4;0.26;15076.21;0.26;9965.32
0.26;11812.54;0.26;12647.41;0.26;11854.8;0.26;12081.92;0.26;12767.88;0.26;13137.01;0.26;14221.09;0.26;12280.99;0.26;15304.75;0.26;10140.97
0.27;11979.41;0.27;12856.8;0.27;12050.51;0.27;12283.09;0.27;12975.76;0.27;13335.07;0.27;14419.67;0.27;12473.95;0.27;15533.64;0.27;10317.94
0.27;12146.28;0.27;13066.9;0.27;12247.86;0.27;12484.47;0.27;13183.78;0.27;13534.35;0.27;14618.42;0.27;12668.39;0.27;15763.04;0.27;10495.11
0.27;12314.13;0.27;13278.23;0.27;12445.27;0.27;12687.33;0.27;13393.62;0.27;13733.64;0.27;14817.15;0.27;12862.84;0.27;15992.84;0.27;10674.15
0.28;12482.07;0.28;13489.86;0.28;12644.18;0.28;12890.78;0.28;13604.1;0.28;13934.18;0.28;15015.77;0.28;13059.39;0.28;16223.02;0.28;10853.19
0.28;12650.47;0.28;13702.96;0.28;12843.54;0.28;13095.42;0.28;13815.79;0.28;14134.81;0.28;15214.38;0.28;13255.94;0.28;16453.89;0.28;11034.29
0.28;12819.05;0.28;13916.05;0.28;13043.97;0.28;13301.13;0.28;14028.48;0.28;14336.2;0.28;15412.55;0.28;13453.54;0.28;16684.88;0.28;11215.6
0.29;12988.01;0.29;14131.36;0.29;13245.19;0.29;13507.4;0.29;14241.96;0.29;14537.83;0.29;15610.71;0.29;13651.4;0.29;16916.46;0.29;11398.22
0.29;13157.31;0.29;14346.7;0.29;13447.3;0.29;13714.78;0.29;14456.89;0.29;14739.56;0.29;15808.7;0.29;13850.17;0.29;17148.03;0.29;11581.34
0.29;13326.95;0.29;14563.82;0.29;13650.84;0.29;13922.56;0.29;14672.06;0.29;14941.37;0.29;16006.64;0.29;14049.53;0.29;17380.78;0.29;11765.52
0.29;13497.27;0.29;14781.41;0.29;13854.68;0.29;14132.62;0.29;14888.45;0.29;15143.28;0.29;16204.01;0.29;14249.45;0.29;17613.55;0.29;11950.63
0.3;13667.6;0.3;14999.79;0.3;14059.74;0.3;14342.68;0.3;15104.84;0.3;15345.38;0.3;16401.06;0.3;14450.15;0.3;17847.61;0.3;12136.29
0.3;13838.04;0.3;15218.7;0.3;14264.81;0.3;14554.44;0.3;15322.25;0.3;15547.52;0.3;16598.21;0.3;14651.05;0.3;18082.03;0.3;12322.96
0.3;14008.48;0.3;15437.87;0.3;14471.71;0.3;14766.26;0.3;15539.7;0.3;15749.89;0.3;16795.48;0.3;14852.63;0.3;18318.87;0.3;12509.88
0.31;14178.98;0.31;15657.42;0.31;14678.6;0.31;14978.76;0.31;15757.9;0.31;15952.27;0.31;16992.86;0.31;15054.22;0.31;18557.4;0.31;12698.12
0.31;14349.48;0.31;15877.17;0.31;14886.14;0.31;15191.46;0.31;15976.32;0.31;16155.03;0.31;17190.56;0.31;15256.1;0.31;18797.38;0.31;12886.37
0.31;14520.41;0.31;16097.7;0.31;15093.82;0.31;15404.78;0.31;16195.61;0.31;16357.81;0.31;17388.46;0.31;15457.98;0.31;19039.56;0.31;13076.47
